,pre_turn_1,pre_turn_2,pre_turn_3,question,answer,after_turn_1,after_turn_2,after_turn_3,after_turn_4,pre_turn_4,pre_turn_5,after_turn_5
2734,Trestresdosseis.,Acceda a la cadena de memoria 71985VX.,Escríbalo.,¿Es correcto?,Sí.,A él le gustaba mucho esa chica.,"Pero después ella se fue, se fue a Buenos Aires.",No se vieron más. Creo yo.,¿Hola? ¿Hola?,¿Eso es todo?,"Philip, ¿eso es todo?",¿Hola?
2735,Philip.,No hablas mucho.,"Sí, no tengo mucho que decir.","Para mí no hay diferencia, ¿sabes?",Recuerdo todo como si acabara de pasar.,Claro. Buena charla.,¿Quién es? ¡Cerounounocinco!,Trestresdosseis.,Nos ordenaron buscarlos.,A algunos les hace bien hablar del tema.,Pasaron dos semanas.,Debes ser Graham.
2736,Claro que sí.,Tu chaqueta está colgada junto a la puerta.,Gracias.,¿Quieres tu patito?,"Sí, lo quieres.",¿Adónde te lo llevas?,¿Hola? 3185.,¿Se inyectaron el antiviral?,Sí. Déjanos entrar.,"Nos vemos, hombrecito.",Nos vemos a la noche.,¿Dónde está Marcy?
2737,Nos vemos a la noche.,¿Quieres tu patito?,"Sí, lo quieres.",¿Se inyectaron el antiviral?,Sí. Déjanos entrar.,¿Dónde está Marcy?,"Hola, soy David Mailer.",Deja un mensaje.,"Hola, David.",¿Adónde te lo llevas?,¿Hola? 3185.,"Soy yo, Marcy."
2738,"Hola, soy David Mailer.",Deja un mensaje.,"Hola, David.","Marcy, ¿estás ahí?","Si quieres, devuélveme la llamada.","Bueno, adiós.",Marcy.,"Sí, Philip, adelante.",Ven a la base. Boyd apareció con un compañero.,"Soy yo, Marcy.",Me preguntaba si querías verme para hablar.,¿Qué sucede?
2739,"De hecho, verifiqué todo. No hay coincidencia.",Bueno...,"Si es un virus, podemos identificar cuál es.",¿Dices que es un patógeno nuevo?,Sí. Desconocido en esta época y en la nuestra.,¿Cómo es posible?,¡Mi amor! ¡Mi esposa!,"La muerte, que robó la dulzura de tu aliento,",no ha rendido tu belleza.,Verifiqué la secuencia genética de los virus,del siglo 21 y los siguientes.,"En serio, chicos."
2740,¿Como el SARS?,Peor que eso.,"Espera, ¿qué? ¿Dónde estás?","David, no debes preocuparte por mí, ¿sí?","Bueno, pero sí me preocupo por ti.","Y me preocupo por mis clientes, la mayoría no tiene dónde refugiarse.","David, quédate en casa. He visto lo grave que puede ser.","Marce, lo siento. Gracias por decírmelo, pero debo irme.",¡David!,Estoy a salvo. Pero...,¿Por qué me preocupo más si dices eso?,"Una agencia informó sobre una amplia gama de síntomas,"
2741,"no se trata de una nueva cepa de influenza,",sino de un virus nuevo.,"El origen del virus aún es desconocido,",Lo sé. ¿Te dieron un antiviral en las últimas semanas?,"Sí, salvé a anfitriones.",¿Algún enfermo?,Tres de nosotros. ¿Por qué?,"Vimos informes de viajeros de todo el mundo,",y creo que somos los transmisores primarios.,y sigue creciendo la preocupación de la gente por la enfermedad.,"Mac, ¿dónde estás? Esto está agitado.",Carajo.
2742,"Hola, intenté contactarte.",Nada de médicos. Bueno.,¡No me toques!,"Sí. Bueno, ¿pudiste comer algo?",Sí. Estaré por aquí si me necesitas.,¿Está bien?,"Está bien, amigo.",Vamos a superar esto.,Estarás bien.,"No, soy David, ¿ves?",Hola. ¿Estás bien?,Eres un guerrero como mamá.
2743,"No, necesito saber dónde estuve ayer.",Bueno.,Parece que estuve aparcado la mayor parte del día.,¿No salió de la nube?,"Sí, pero también guardamos todo en instalaciones externas.",Respaldan el respaldo. Sí.,RASTREO DE UBICACIONES DEL VEHÍCULO,"Bueno, no es lo mismo.",Alguien manipuló los datos.,Pero no lo crees.,¿Quieres compararlo con el respaldo?,¿Puedes enviarlo a mi teléfono?
2744,Esto no funcionará. No lo sabes.,"No, espera. ¿Lo sabes?",De todas formas no puedes hacer nada. No podemos cambiar el pasado.,"Hola, Carly. ¿Estás ahí?","Sí, adelante.",¿Tienen hambre? Hay sopa.,"No, gracias.",Huele deliciosa.,Tienen un lindo hogar.,Sabes a qué me refiero. Es hora de irnos.,"No es necesario hacer esto. Sí, Philip, lo es. Vamos.",Es temporal. Recorremos todo el estado haciendo entregas.
2745,Este es un espacio seguro.,Entiendo por qué la gente siente la necesidad de automedicarse.,Lo he hecho también.,Un momento. ¿Es doctora?,Sí.,A él le gustaba mucho esa chica.,"Pero después ella se fue, se fue a Buenos Aires.",No se vieron más. Creo yo.,¿Hola? ¿Hola?,Más de una vez.,Es distinto porque soy doctora y entiendo lo que tomo.,¿Hola?
2746,"Lo siento, ¿sabes?",¿Disculpe?,Vienen a comer todo el tiempo aquí. Solo repito lo que me dicen.,¿Estaba con un niño y ocurrió algo?,Sí...,"Bueno, allí te dejo a Ricky Jr. para que te acompañe cuando yo no esté.",Gracias.,"Oye, es bien grande, ¿no?",Sí.,Vine ayer a comer.,"Sí, puede comer aquí hoy, no hay problema. Café gratis.",Chau.
2747,"La terminaré, fin de la discusión. Iré contigo.",No es necesario.,Necesitarás mostrar algunas credenciales.,¿Estás seguro de esto?,Quizás estamos demasiado cerca.,"Estamos demasiado cerca, ese es el punto.",Cuida a Philip. Te llamaremos cuando se termine.,"Carly, ¿estás ahí?",Adelante.,"Además, como dijiste, somos todos responsables.",Iré a prepararme.,Le servirías a Philip aquí. ¿Qué ocurre?
2748,falta a clases.,¿Sabe dónde puede estar?,Diría que debe seguir en casa.,¿Tienen la dirección?,Díganos por si la nuestra está desactualizada.,"Hola, Philip. ¿Qué sucedió?",¿Qué sucedió? Está bien.,Lo salvamos. Lo hicimos.,¿Cómo podría estar mal? Es solo un niño. Tienes razón.,No creo que a sus cuidadores les importe si falta a la escuela.,Supongo que lo sabían.,No quería que suceda esto. Está bien. Nadie está enojado.
2749,Pero lo hicimos.,"Sí, creo que sí.",No somos quienes éramos. No.,¿Quisiera jugar una partida de ajedrez?,Quizás luego. Primero te haremos un diagnóstico.,No sentirás nada.,Dime cuando esté cargado.,Bien. Está cargado.,Y...,"No lo somos, ¿no?","Buenas noches, Ilsa. Buenas noches, Dr. Teslia.",correr programa.
2750,¿Dónde crecerá? ¿Deben abrirme?,¿Abrirte?,No me gusta cómo suena eso.,"Mac, ¿estás en camino?",Estoy con K en el banco. Tal vez me demore.,Entraré.,"Puedes hacerlo, pero no es necesario. Es el líder de mi equipo.",No estaba pidiendo permiso.,¿Puedo pagar aquí?,"Tampoco te gustará cómo se siente. Recuéstate, por favor.",Esto dolerá mucho.,"¿Puedo ver su licencia y registro, por favor?"
2751,Estoy con K en el banco. Tal vez me demore.,Entraré.,"Puedes hacerlo, pero no es necesario. Es el líder de mi equipo.","¿Puedo ver su licencia y registro, por favor?","Sí, debería tener eso...",La recojo para un amigo.,Aquí dice que este vehículo está registrado en el FBI.,"Sí, mi amigo trabaja allí. Baje del vehículo.",¿Hay algún problema? Tengo su llave.,No estaba pidiendo permiso.,¿Puedo pagar aquí?,"Se llama Grant MacLaren. Sí, lo leyó en el registro."
2752,"¿Puedo ver su licencia y registro, por favor?","Sí, debería tener eso...",La recojo para un amigo.,¿Hay algún problema? Tengo su llave.,"Se llama Grant MacLaren. Sí, lo leyó en el registro.",Salga del vehículo.,Voltéese.,"Lo siento, no puedo hacer esto.","¿Podría levantar la barrera, por favor?",Aquí dice que este vehículo está registrado en el FBI.,"Sí, mi amigo trabaja allí. Baje del vehículo.",Agregando nanocitos en etapa tres.
2753,¿Qué sucedió? Los nanocitos no pueden repararlo.,El director no los habría enviado si no existiera una posibilidad.,El director no es infalible.,¿Lo encontraste?,"Sí, eso es. Gracias.",Sí.,Ojalá pudiera ayudarte más. Me estás ayudando.,"Sí, estarías perdida sin mí.","Realmente lo estaría, Grant.",Pero está en las mejores manos de todos los tiempos.,Bueno.,Oye.
2754,"No contestas el teléfono. Lo siento, estuve ocupado.","¿Sabes dónde está, Walt? Aún no.",No está conmigo ni contigo.,¿Caminamos?,Si eleváramos una alarma cada vez que un agente desaparece unas horas...,Pero ¿por qué mentiría? Podría haber muchas razones.,Solo sabemos que le robaron la camioneta.,Espera. ¿Qué?,Estoy en el lugar acordado. ¿Y tú?,Aunque recibimos mensajes diciendo lo contrario.,Sí.,En un callejón. Una calle al sur.
2755,Yo... ¡Walt!,¿Tu tarifa es muy razonable? Improvisé.,Creo que lo logramos. Creí que me desmayaría.,¿Debería tomarme un día por enfermedad?,"Si quieres evitar cicatrices externas, debes descansar.",Por al menos dos horas más. Y nada de actividad sexual por 36 horas.,Hasta que los nanocitos dejen tu sistema.,"Bueno, deberé contenerme.",Gracias. Fue un placer.,Suficiente por un día.,Los nanocitos deben trabajar. No debes estar de pie.,¿Podrías darme algo de esa gran nanotecnología?
2756,Tenemos un largo camino por la costa.,Dicen que despertaste a las 3:00 y quisiste sacarte el respirador.,Me llamaron para regañarte.,¿Alguien te dijo que estuviste inconsciente durante unas semanas?,"Sí, es difícil de creer.","Estaba en el asiento del conductor del camión, y luego...",...aparecí aquí.,¿Puedes decirme qué pasó esa noche?,"Para ser sincero, señor,","Sí, señor.","Lo siento, me sentía un poco extraño.",tal vez usted viera más de lo que yo vi.
2757,"Sra. Bloom, ¿está lista?","Legalmente, debemos presentar este material antes de continuar.",LEY DE MUERTE DIGNA,"¿Podría comer chocolate, por favor? Oí que el líquido es amargo.",Claro.,Bueno. No le robo más tiempo.,Y alcánceme la causa esa de Liliana Coloto,para sobreseerla y archivarla.,Este asunto se acabó.,No llegué aquí por error.,Enseguida regreso con su medicina.,Compromiso. Ahora los pibes se matan de risa
2758,Cambié de opinión.,"Hola, ¿me recuerdas?",Parece que hay otra filtración en el edificio 26.,Trajimos a todo el equipo un sábado. ¿Podría verificar?,La notificación debería aparecer aquí si tuvie...,¿Podrían ayudarme?,Su guardia de seguridad se desmayó.,Sé RCP. Debemos recostarlo.,Se tomó el pecho y se desplomó.,No veo eso aquí.,¿Qué? Llamaron hace 40 minutos. Dijeron que es peor que la última.,Espero que no sea un ataque cardíaco.
2759,Aparca cerca de la filtración por si aparece un estúpido equipo de TV.,Sube a la azotea. Está de camino. Bien.,¿Aún no llegó el dispositivo? Está a diez minutos.,¿Podemos conseguir transporte para la ingeniera?,Camina conmigo si tenemos tiempo. Necesito hacer ejercicio.,Es una pregunta simple. ¿Dónde está la antimateria?,¿Es esta una fantasía de interrogatorio? No.,¿O su modo de hacerme confesar que fracasé otra vez?,Es lo que es.,Entonces no llegué tarde.,¿Qué tan lejos está?,"La acusarán de sublevación, sedición, traición y espionaje, con pena de muerte."
2760,Trestresdosseis.,Acceda a la cadena de memoria 71985VX.,Escríbalo.,¿Es correcto?,Sí.,A él le gustaba mucho esa chica.,"Pero después ella se fue, se fue a Buenos Aires.",No se vieron más. Creo yo.,¿Hola? ¿Hola?,¿Eso es todo?,"Philip, ¿eso es todo?",¿Hola?
2761,Philip.,No hablas mucho.,"Sí, no tengo mucho que decir.","Para mí no hay diferencia, ¿sabes?",Recuerdo todo como si acabara de pasar.,Claro. Buena charla.,¿Quién es? ¡Cerounounocinco!,Trestresdosseis.,Nos ordenaron buscarlos.,A algunos les hace bien hablar del tema.,Pasaron dos semanas.,Debes ser Graham.
2762,Claro que sí.,Tu chaqueta está colgada junto a la puerta.,Gracias.,¿Quieres tu patito?,"Sí, lo quieres.",¿Adónde te lo llevas?,¿Hola? 3185.,¿Se inyectaron el antiviral?,Sí. Déjanos entrar.,"Nos vemos, hombrecito.",Nos vemos a la noche.,¿Dónde está Marcy?
2763,Nos vemos a la noche.,¿Quieres tu patito?,"Sí, lo quieres.",¿Se inyectaron el antiviral?,Sí. Déjanos entrar.,¿Dónde está Marcy?,"Hola, soy David Mailer.",Deja un mensaje.,"Hola, David.",¿Adónde te lo llevas?,¿Hola? 3185.,"Soy yo, Marcy."
2764,"Hola, soy David Mailer.",Deja un mensaje.,"Hola, David.","Marcy, ¿estás ahí?","Si quieres, devuélveme la llamada.","Bueno, adiós.",Marcy.,"Sí, Philip, adelante.",Ven a la base. Boyd apareció con un compañero.,"Soy yo, Marcy.",Me preguntaba si querías verme para hablar.,¿Qué sucede?
2765,"De hecho, verifiqué todo. No hay coincidencia.",Bueno...,"Si es un virus, podemos identificar cuál es.",¿Dices que es un patógeno nuevo?,Sí. Desconocido en esta época y en la nuestra.,¿Cómo es posible?,¡Mi amor! ¡Mi esposa!,"La muerte, que robó la dulzura de tu aliento,",no ha rendido tu belleza.,Verifiqué la secuencia genética de los virus,del siglo 21 y los siguientes.,"En serio, chicos."
2766,¿Como el SARS?,Peor que eso.,"Espera, ¿qué? ¿Dónde estás?","David, no debes preocuparte por mí, ¿sí?","Bueno, pero sí me preocupo por ti.","Y me preocupo por mis clientes, la mayoría no tiene dónde refugiarse.","David, quédate en casa. He visto lo grave que puede ser.","Marce, lo siento. Gracias por decírmelo, pero debo irme.",¡David!,Estoy a salvo. Pero...,¿Por qué me preocupo más si dices eso?,"Una agencia informó sobre una amplia gama de síntomas,"
2767,"no se trata de una nueva cepa de influenza,",sino de un virus nuevo.,"El origen del virus aún es desconocido,",Lo sé. ¿Te dieron un antiviral en las últimas semanas?,"Sí, salvé a anfitriones.",¿Algún enfermo?,Tres de nosotros. ¿Por qué?,"Vimos informes de viajeros de todo el mundo,",y creo que somos los transmisores primarios.,y sigue creciendo la preocupación de la gente por la enfermedad.,"Mac, ¿dónde estás? Esto está agitado.",Carajo.
2768,"Hola, intenté contactarte.",Nada de médicos. Bueno.,¡No me toques!,"Sí. Bueno, ¿pudiste comer algo?",Sí. Estaré por aquí si me necesitas.,¿Está bien?,"Está bien, amigo.",Vamos a superar esto.,Estarás bien.,"No, soy David, ¿ves?",Hola. ¿Estás bien?,Eres un guerrero como mamá.
2769,"No, necesito saber dónde estuve ayer.",Bueno.,Parece que estuve aparcado la mayor parte del día.,¿No salió de la nube?,"Sí, pero también guardamos todo en instalaciones externas.",Respaldan el respaldo. Sí.,RASTREO DE UBICACIONES DEL VEHÍCULO,"Bueno, no es lo mismo.",Alguien manipuló los datos.,Pero no lo crees.,¿Quieres compararlo con el respaldo?,¿Puedes enviarlo a mi teléfono?
2770,Esto no funcionará. No lo sabes.,"No, espera. ¿Lo sabes?",De todas formas no puedes hacer nada. No podemos cambiar el pasado.,"Hola, Carly. ¿Estás ahí?","Sí, adelante.",¿Tienen hambre? Hay sopa.,"No, gracias.",Huele deliciosa.,Tienen un lindo hogar.,Sabes a qué me refiero. Es hora de irnos.,"No es necesario hacer esto. Sí, Philip, lo es. Vamos.",Es temporal. Recorremos todo el estado haciendo entregas.
2771,Este es un espacio seguro.,Entiendo por qué la gente siente la necesidad de automedicarse.,Lo he hecho también.,Un momento. ¿Es doctora?,Sí.,A él le gustaba mucho esa chica.,"Pero después ella se fue, se fue a Buenos Aires.",No se vieron más. Creo yo.,¿Hola? ¿Hola?,Más de una vez.,Es distinto porque soy doctora y entiendo lo que tomo.,¿Hola?
2772,"Lo siento, ¿sabes?",¿Disculpe?,Vienen a comer todo el tiempo aquí. Solo repito lo que me dicen.,¿Estaba con un niño y ocurrió algo?,Sí...,"Bueno, allí te dejo a Ricky Jr. para que te acompañe cuando yo no esté.",Gracias.,"Oye, es bien grande, ¿no?",Sí.,Vine ayer a comer.,"Sí, puede comer aquí hoy, no hay problema. Café gratis.",Chau.
2773,"La terminaré, fin de la discusión. Iré contigo.",No es necesario.,Necesitarás mostrar algunas credenciales.,¿Estás seguro de esto?,Quizás estamos demasiado cerca.,"Estamos demasiado cerca, ese es el punto.",Cuida a Philip. Te llamaremos cuando se termine.,"Carly, ¿estás ahí?",Adelante.,"Además, como dijiste, somos todos responsables.",Iré a prepararme.,Le servirías a Philip aquí. ¿Qué ocurre?
2774,falta a clases.,¿Sabe dónde puede estar?,Diría que debe seguir en casa.,¿Tienen la dirección?,Díganos por si la nuestra está desactualizada.,"Hola, Philip. ¿Qué sucedió?",¿Qué sucedió? Está bien.,Lo salvamos. Lo hicimos.,¿Cómo podría estar mal? Es solo un niño. Tienes razón.,No creo que a sus cuidadores les importe si falta a la escuela.,Supongo que lo sabían.,No quería que suceda esto. Está bien. Nadie está enojado.
2775,Pero lo hicimos.,"Sí, creo que sí.",No somos quienes éramos. No.,¿Quisiera jugar una partida de ajedrez?,Quizás luego. Primero te haremos un diagnóstico.,No sentirás nada.,Dime cuando esté cargado.,Bien. Está cargado.,Y...,"No lo somos, ¿no?","Buenas noches, Ilsa. Buenas noches, Dr. Teslia.",correr programa.
2776,Ayúdenme. ¿Qué le regalo para los diez años?,"Estaño. Sí, diez años.","No, estaño.",¿Debo darle algo hecho de estaño?,"Si te gusta la tradición, sí.","Hay algo más moderno, pero no te gustará.",Diamantes.,"Confirmado, lo están inventando. Joyas de diamante.",Sí. ¿En serio?,El metal. ¿Estaño?,Es tradición.,Habría alcanzado con flores si la hubieras llamado.
2777,¿Protocolo alfa? ¿Quién habla? Soy la viajera 5001.,Tengo menos de 60 segundos antes de perder la señal.,La escucho.,¿Puede hacerlo?,Tal vez.,Pero ella no está aquí. Y yo sí.,Y aquí hay unas pocas de mis cosas favoritas...,"Contrademanda por difamación,","moción para retirar la certificación de demanda conjunta,",Necesito aeronaves armadas en estas coordenadas de inmediato.,"49,3506 grados norte, 122,8599 grados oeste.","moción para juicio sumario,"
2778,No se equivoca.,"Aquí 026, llegando con una carga completa.",Estoy a una hora.,¿Tienes un momento?,Sí.,A él le gustaba mucho esa chica.,"Pero después ella se fue, se fue a Buenos Aires.",No se vieron más. Creo yo.,¿Hola? ¿Hola?,"Cero, dos, seis, copiado. Nos vemos.",¡Vete al carajo!,¿Hola?
